2025-05-22 14:55:33 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 14:55:33 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 14:55:33 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 14:55:33 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 14:55:33 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 14:57:08 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 14:57:08 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 14:57:08 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 14:57:08 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 14:57:08 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 14:57:53 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 14:57:53 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 14:57:53 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 14:57:53 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 14:57:53 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:32:36 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:32:36 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:32:36 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:32:36 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:32:36 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:32:45 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 16:32:45 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-22 16:33:36 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:33:36 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:33:36 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:33:36 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:33:36 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:33:45 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 16:33:45 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-22 16:35:43 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:35:43 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:35:43 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:35:44 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:35:45 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:37:58 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:37:58 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:37:58 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:37:58 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:37:58 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:38:07 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 16:38:07 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-22 16:39:30 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:39:30 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:39:30 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:39:30 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:39:30 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:39:43 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 16:39:44 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-22 16:40:31 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:40:31 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:40:31 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:40:31 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
