2025-04-25 08:51:56 | INFO | __main__ : main:102 | ----------------------------------------start----------------------------------------
2025-04-25 08:51:56 | INFO | __main__ : main:90 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal_message
2025-04-25 08:51:56 | INFO | __main__ : main:106 | loading config start
2025-04-25 08:51:56 | INFO | __main__ : main:25 | 串口通讯配置文件读取成功。
2025-04-25 08:51:56 | INFO | theme.ThemeManager : ThemeManager:60 | ThemeManger:instance._current_theme:  light
2025-04-25 08:51:56 | INFO | __main__ : main:108 | loading config finish
2025-04-25 08:51:56 | INFO | __main__ : main:61 | start Qt
2025-04-25 08:51:58 | INFO | index.mainWindow : mainWindow:202 | time update thread start
2025-04-25 08:51:58 | WARNING | index.mainWindow : mainWindow:116 | logolabel_btn button's icon resource file was not found！
2025-04-25 08:51:58 | INFO | __main__ : main:68 | Appliacation start
2025-04-25 08:51:59 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 08:51:59 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 08:51:59 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 08:51:59 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 08:51:59 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 08:51:59 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 08:52:00 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 08:52:00 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 08:52:00 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 08:52:00 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 08:52:00 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[0.0,0.0] y=[0,0]
